Eigenvector Projection Log
protocol,step,mod0,mod1,mod2,mod3,mod4,mod5,mod6,mod7,mod8,mod9
0.000000000000000000e+00,1.000000000000000000e+00,2.343476954026254555e-01,1.240161367782029317e-01,2.376635914810479866e-01,1.010385208565326431e-01,8.158554855284583240e-02,2.058381109142005949e-01,1.820792332156893900e-01,3.103396694615783713e-01,3.152158870690113107e-02,7.503589119253029072e-02
0.000000000000000000e+00,1.010000000000000000e+02,3.400349088867513636e-01,1.778719814646170516e-01,3.479848017080497957e-01,1.488097817178466176e-01,1.122911957107043807e-01,2.992657846737781235e-01,2.732409999522013577e-01,4.550779202396235679e-01,4.787255500622792509e-02,2.669130546627792103e-03
0.000000000000000000e+00,2.010000000000000000e+02,3.360851714510576516e-01,1.748330389681958807e-01,3.467260734454593596e-01,1.490064147628763214e-01,1.080990806957603384e-01,2.971761684602256537e-01,2.742267065757669209e-01,4.551518357681432758e-01,4.709987881560974421e-02,1.634299236006223435e-04
0.000000000000000000e+00,3.010000000000000000e+02,3.329720096095641346e-01,1.722012648142321745e-01,3.454203827508047775e-01,1.488744715267986130e-01,1.049508914937784532e-01,2.954465914607878330e-01,2.751034757898583316e-01,4.542496357507307403e-01,4.657969699158785032e-02,3.709277863768021925e-03
0.000000000000000000e+00,4.010000000000000000e+02,3.307474124234932589e-01,1.701157564513653131e-01,3.444794105369705650e-01,1.488687810808886625e-01,1.021532817267299664e-01,2.937572609463945383e-01,2.753501341090296428e-01,4.534342777618038389e-01,4.594407314700940659e-02,2.801025295637127690e-04
0.000000000000000000e+00,5.010000000000000000e+02,3.301297590963852002e-01,1.682079623132072266e-01,3.438740628013038370e-01,1.487626810361172836e-01,9.987018836926887799e-02,2.922753706256692174e-01,2.759783290828246582e-01,4.508674013827306259e-01,4.536148225739796563e-02,6.013076171877402079e-03
0.000000000000000000e+00,6.010000000000000000e+02,3.318223098950842664e-01,1.668132130845315086e-01,3.439609820125767992e-01,1.489125701460534412e-01,9.759354390906187227e-02,2.903543787219657335e-01,2.755599350714685314e-01,4.467266126293017448e-01,4.425239243184404120e-02,2.551622984777774869e-03
0.000000000000000000e+00,7.010000000000000000e+02,3.379689530437194334e-01,1.654836942437229452e-01,3.448783786207738067e-01,1.489219337801238330e-01,9.588721129522688458e-02,2.882885468326868428e-01,2.754584388889338431e-01,4.374911762417306171e-01,4.296580614612681426e-02,8.354403772646314813e-03
0.000000000000000000e+00,8.010000000000000000e+02,3.512454315634127577e-01,1.648952732210177130e-01,3.474391962545669843e-01,1.494628449376143031e-01,9.389184218478216493e-02,2.849481362809984097e-01,2.733140395378478860e-01,4.214511385144150690e-01,4.026999186935492636e-02,5.818061174865924931e-03
0.000000000000000000e+00,9.010000000000000000e+02,3.772314151258254755e-01,1.643005666969402090e-01,3.517731294172362078e-01,1.502059598327663281e-01,9.211452393803785943e-02,2.800627015362764927e-01,2.701114059215170560e-01,3.906718289411098555e-01,3.610524949030396308e-02,1.202029916637342363e-02
1.000000000000000000e+00,1.001000000000000000e+03,4.225121442438384278e-01,1.641533499669297624e-01,3.580958156066770814e-01,1.518786620163823375e-01,8.855679390343088042e-02,2.712316071945501395e-01,2.607277270671474190e-01,3.379277728133421310e-01,2.810275224157256571e-02,1.109993258236107241e-02
1.000000000000000000e+00,1.101000000000000000e+03,4.881144462372483117e-01,1.619988397295327176e-01,3.623887026267523237e-01,1.537463293177955270e-01,8.251064870420572739e-02,2.569761104282379249e-01,2.439129119343995677e-01,2.573536990852355877e-01,1.645106789980663869e-02,1.766827460077449383e-02
1.000000000000000000e+00,1.201000000000000000e+03,5.612988037856190271e-01,1.578317329110041078e-01,3.607813002867333863e-01,1.552288102220057420e-01,7.119824380429994048e-02,2.370212854291584015e-01,2.151737681451953432e-01,1.632472278960968859e-01,1.927057276374732810e-03,1.715544614630033077e-02
1.000000000000000000e+00,1.301000000000000000e+03,6.307325123281775081e-01,1.498878715180022025e-01,3.501221731399627446e-01,1.551145779740322472e-01,5.600831610592821308e-02,2.124511455521852499e-01,1.775864001967100703e-01,7.128295102272221018e-02,1.125062595298526036e-02,1.953969584004777368e-02
1.000000000000000000e+00,1.401000000000000000e+03,6.946005145523018731e-01,1.391105038175315112e-01,3.311766742731409585e-01,1.526208443708209073e-01,3.638625953666604906e-02,1.825333598288139125e-01,1.297385854851052789e-01,1.158001965852235339e-02,2.192481988989524594e-02,1.782663473120154468e-02
1.000000000000000000e+00,1.501000000000000000e+03,7.534657750134674536e-01,1.241407805173686679e-01,3.025670842849591535e-01,1.465723444412316556e-01,1.338456040613773129e-02,1.450781232603934323e-01,7.217623035125231290e-02,8.436445715477937368e-02,2.857165224237551496e-02,1.627890359243077192e-02
1.000000000000000000e+00,1.601000000000000000e+03,8.066113540163921680e-01,1.038654540795133224e-01,2.626050660913167301e-01,1.356341743428984836e-01,1.197981998980218385e-02,9.773837701172638504e-02,5.433507358979502121e-03,1.466867962143094117e-01,3.052929071180184029e-02,1.431981928391425768e-02
1.000000000000000000e+00,1.701000000000000000e+03,8.504814271955950522e-01,7.802489326291767169e-02,2.100584685469243096e-01,1.179629862042907151e-01,3.965657609511453324e-02,3.955701558374507404e-02,6.899800877482858974e-02,1.994621297042275532e-01,2.815813563236269079e-02,9.920465153572815761e-03
1.000000000000000000e+00,1.801000000000000000e+03,8.789663771978271090e-01,4.564205601603996132e-02,1.430987393969622157e-01,9.199784588930066953e-02,6.713991889526382817e-02,2.952185809230937347e-02,1.462291694055900260e-01,2.406315959668444415e-01,2.142215831651971339e-02,8.269193406951381650e-03
1.000000000000000000e+00,1.901000000000000000e+03,8.841027335973097312e-01,9.577715655807873818e-03,6.445649844443847309e-02,5.593825448295847852e-02,9.420155900042358199e-02,1.046758290649942719e-01,2.199064338891759118e-01,2.698333405928697304e-01,1.264743699116281823e-02,2.098817589354594858e-03
2.000000000000000000e+00,2.001000000000000000e+03,8.598784862979068633e-01,2.823905856715252030e-02,2.260910930245223910e-02,1.006682063559477362e-02,1.166323175577215904e-01,1.799376467818698533e-01,2.809835489727637303e-01,2.819020184396280881e-01,2.914417255400647121e-03,1.334725481630318457e-03
2.000000000000000000e+00,2.101000000000000000e+03,8.048202932059954628e-01,6.270276621621494184e-02,1.097934809848024607e-01,4.383255442976058402e-02,1.332109692329721817e-01,2.451803800818017631e-01,3.212493646237358780e-01,2.762286699689477931e-01,5.065635380912478399e-03,4.716105584895137481e-03
2.000000000000000000e+00,2.201000000000000000e+03,7.229684450599127565e-01,9.134025149774500918e-02,1.909773851875931350e-01,1.012637308133411407e-01,1.407902402992754209e-01,2.940668462511524806e-01,3.374042222920292655e-01,2.491726770873753938e-01,1.089698903459950831e-02,4.439162721310480064e-03
2.000000000000000000e+00,2.301000000000000000e+03,6.216449798700666163e-01,1.123327165181641357e-01,2.605257031902710185e-01,1.571688665735841706e-01,1.396240427065227885e-01,3.218480424762720227e-01,3.295028570607945739e-01,2.030273649842344597e-01,1.434192727283632209e-02,8.774716544919234848e-03
2.000000000000000000e+00,2.401000000000000000e+03,5.076477553084178806e-01,1.259119140611247856e-01,3.161875725633017664e-01,2.064838339188777294e-01,1.299238372775230188e-01,3.290771794624334778e-01,3.029618751688836764e-01,1.381408827288676533e-01,1.606430759021311439e-02,7.995103980748619402e-03
2.000000000000000000e+00,2.501000000000000000e+03,3.865074534212832869e-01,1.333422023191484507e-01,3.573842186529193610e-01,2.457267353451048075e-01,1.132774062780013413e-01,3.180168129565372759e-01,2.617336462194214119e-01,5.935982515254374647e-02,1.622650512767710718e-02,9.700061441993474212e-03
2.000000000000000000e+00,2.601000000000000000e+03,2.617177194870073942e-01,1.356274031345301723e-01,3.842881819318056391e-01,2.729751594546834803e-01,9.092106071248638732e-02,2.922454770074874864e-01,2.094504857178263180e-01,2.803489513307304976e-02,1.395990014445761332e-02,8.588013809459891720e-03
2.000000000000000000e+00,2.701000000000000000e+03,1.352617391755600029e-01,1.333277672546395454e-01,3.972484367601773481e-01,2.879372062853799430e-01,6.415759734351435262e-02,2.546107859775012527e-01,1.471208802406568650e-01,1.157317551663703953e-01,7.749350974370524704e-03,7.413689097928631566e-03
2.000000000000000000e+00,2.801000000000000000e+03,7.862776217349562100e-03,1.271151643206977211e-01,3.971344465836401105e-01,2.909315690138645216e-01,3.322811223341562425e-02,2.073249300346000357e-01,7.400691615561093284e-02,1.950543418005011298e-01,3.135020329227394993e-03,6.384728649507530329e-03
2.000000000000000000e+00,2.901000000000000000e+03,1.206381255621748333e-01,1.158028023769105963e-01,3.833274275610033532e-01,2.824432396297593684e-01,4.757057849696702512e-04,1.512172882851988975e-01,7.606401481274625669e-03,2.567396871951077575e-01,1.902190944542543616e-02,3.268868407093909224e-03
