Eigenvector Projection Log
protocol,step,mod0,mod1,mod2,mod3,mod4,mod5,mod6,mod7,mod8,mod9
0.000000000000000000e+00,0.000000000000000000e+00,3.774873805924471304e-01,5.081863160364639281e-02,8.006862752216052648e-02,1.784567908627524846e-01,1.784567908627524846e-01,3.195153664361554124e-01,2.237379272105920539e-02,1.628375501709046491e-01,2.491067652154253520e-01,3.719376984764159733e-02
0.000000000000000000e+00,1.000000000000000000e+02,5.389902078414360309e-01,7.268098275002218833e-02,1.142830356940867792e-01,2.547984471463569101e-01,2.547984471463569101e-01,4.561092355111305841e-01,3.186633273499578367e-02,2.325714699638460614e-01,3.557616467699088458e-01,5.513900533603229058e-04
0.000000000000000000e+00,2.000000000000000000e+02,5.398482471878959243e-01,7.261484274047236287e-02,1.145375034194286018e-01,2.551222670346536825e-01,2.551222670346536825e-01,4.569254459769385157e-01,3.203463613089140016e-02,2.328434806433633264e-01,3.560268690316568674e-01,4.639059653793342229e-04
0.000000000000000000e+00,3.000000000000000000e+02,5.403552156000462903e-01,7.280744849220806281e-02,1.146496657108297679e-01,2.547605153850986404e-01,2.547605153850986404e-01,4.567831601860840585e-01,3.190492282602664514e-02,2.331741922458955285e-01,3.553899087729485151e-01,2.324266377072687923e-03
0.000000000000000000e+00,4.000000000000000000e+02,5.421409040232749721e-01,7.317595558240465314e-02,1.153461906112973612e-01,2.535333706051461355e-01,2.535333706051461355e-01,4.567524520743468930e-01,3.213270783590223972e-02,2.336454904838692892e-01,3.524687057344154106e-01,1.645486588295244211e-04
0.000000000000000000e+00,5.000000000000000000e+02,5.470819105872479771e-01,7.436939053384655773e-02,1.169496732069341544e-01,2.500950983968555086e-01,2.500950983968555086e-01,4.562226024303654981e-01,3.195807598216998668e-02,2.357474843802006836e-01,3.452208770235797308e-01,3.583291804124405684e-03
0.000000000000000000e+00,6.000000000000000000e+02,5.579157768177424037e-01,7.658824477118607310e-02,1.207928096414641467e-01,2.423432279407341239e-01,2.423432279407341239e-01,4.553232174095515061e-01,3.222993006392438353e-02,2.395797531138004477e-01,3.281704455043288338e-01,1.761392933838572738e-03
0.000000000000000000e+00,7.000000000000000000e+02,5.790212608813233297e-01,8.166938431806743115e-02,1.280190363881713589e-01,2.266845874013545536e-01,2.266845874013545536e-01,4.521207438098160947e-01,3.177488944940769916e-02,2.472881090115440494e-01,2.948808478666581911e-01,5.239499289510595077e-03
0.000000000000000000e+00,8.000000000000000000e+02,6.139685374376474547e-01,8.966499541218674041e-02,1.403884932395495222e-01,1.984045588025230289e-01,1.984045588025230289e-01,4.443635566993058839e-01,3.086162427162945920e-02,2.580572784074630643e-01,2.350135654252930861e-01,4.224298047305945214e-03
0.000000000000000000e+00,9.000000000000000000e+02,6.616707819960535586e-01,1.016392070582404078e-01,1.570767167489373062e-01,1.552216749902900206e-01,1.552216749902900206e-01,4.256113087312938803e-01,2.610459539156754702e-02,2.694351804608735579e-01,1.466691886008228973e-01,7.612354059212774436e-03
1.000000000000000000e+00,0.000000000000000000e+00,7.140830983509328656e-01,1.148052471813186259e-01,1.746004872088390003e-01,1.026159349223285111e-01,1.026159349223285111e-01,3.914112614372363685e-01,1.598268018706588967e-02,2.724414439089220541e-01,3.967975051759593808e-02,6.965339965225243561e-03
1.000000000000000000e+00,1.000000000000000000e+02,7.648602379452059674e-01,1.273953915863747233e-01,1.886238963515204092e-01,5.624210149993896096e-02,5.624210149993896096e-02,3.394905023229423113e-01,2.986367900847042550e-03,2.607945788962013345e-01,6.495891423624491900e-02,8.206048374176429933e-03
1.000000000000000000e+00,2.000000000000000000e+02,8.116372841130599092e-01,1.358687955694848348e-01,1.962532316979201108e-01,5.153447130629950496e-02,5.153447130629950496e-02,2.725770178374554153e-01,2.868262816607384386e-02,2.312974721729608718e-01,1.532467507147659558e-01,6.318639327466935539e-03
1.000000000000000000e+00,3.000000000000000000e+02,8.531109725181416081e-01,1.390747820090779407e-01,1.965138019801125624e-01,8.311057493374686411e-02,8.311057493374686411e-02,1.940044868432546366e-01,5.727310368849421879e-02,1.865136642334289940e-01,2.181279240369976002e-01,4.839119215741627920e-03
1.000000000000000000e+00,4.000000000000000000e+02,8.865526458487876793e-01,1.355579272889183562e-01,1.892246753358426681e-01,1.155153400068067160e-01,1.155153400068067160e-01,1.090126320288304917e-01,8.206961502982096368e-02,1.310047178887465968e-01,2.586507511955106753e-01,3.146662124894812965e-03
1.000000000000000000e+00,5.000000000000000000e+02,9.103511013661315099e-01,1.256450196494061922e-01,1.744687665329804349e-01,1.413627368355031555e-01,1.413627368355031555e-01,2.195885461466412156e-02,9.910969778262855578e-02,6.927781188100927412e-02,2.739275639937915896e-01,1.693047599590885664e-03
1.000000000000000000e+00,6.000000000000000000e+02,9.237923116878876684e-01,1.104807321595422942e-01,1.529134064979697505e-01,1.594431524435380998e-01,1.594431524435380998e-01,6.204286207735436320e-02,1.072702707011340822e-01,4.496248448681457871e-03,2.612998284209114286e-01,2.231872995438067674e-03
1.000000000000000000e+00,7.000000000000000000e+02,9.263440664094426680e-01,9.137228184206364068e-02,1.245044060771956923e-01,1.681555062857704452e-01,1.681555062857704452e-01,1.378780475125358507e-01,1.079885640199926694e-01,5.954999742453088996e-02,2.182623192768731735e-01,1.883158561692196238e-03
1.000000000000000000e+00,8.000000000000000000e+02,9.166398002461038086e-01,6.906659438109620519e-02,9.153888873192196629e-02,1.676049014364607570e-01,1.676049014364607570e-01,2.005911659031311411e-01,1.025946922734935762e-01,1.201643534400492902e-01,1.472258658868753622e-01,3.879964643674811003e-03
1.000000000000000000e+00,9.000000000000000000e+02,8.926885839334457451e-01,4.335480219780925987e-02,5.472744543834771186e-02,1.570024082512788965e-01,1.570024082512788965e-01,2.491570008788460688e-01,9.106863948325311098e-02,1.734662626024918441e-01,5.485430918035395093e-02,3.508065467467084021e-03
2.000000000000000000e+00,0.000000000000000000e+00,8.535939105556877848e-01,1.190793729063865762e-02,1.695557826227562029e-02,1.375674076133329427e-01,1.375674076133329427e-01,2.815685169412199818e-01,6.865453975581049806e-02,2.169468737299685701e-01,4.850104658366782145e-02,4.862971376264187129e-03
2.000000000000000000e+00,1.000000000000000000e+02,8.013289201603313039e-01,2.713313520862383615e-02,2.089165381367764918e-02,1.088052058548246159e-01,1.088052058548246159e-01,2.972639122173671988e-01,3.012348054094660804e-02,2.444200075714864362e-01,1.525087950277824178e-01,2.585565925906656206e-03
2.000000000000000000e+00,2.000000000000000000e+02,7.425556401440006615e-01,7.533338576857845359e-02,5.581516713196157942e-02,8.109564178349948360e-02,8.109564178349948360e-02,2.926074536588830211e-01,2.819878360271047685e-02,2.504384739861226783e-01,2.424396697779176435e-01,7.371090318394373430e-04
2.000000000000000000e+00,3.000000000000000000e+02,6.838467934451196717e-01,1.297027557450667890e-01,8.885998073172832190e-02,8.760461415298663457e-02,8.760461415298663457e-02,2.688777486183051568e-01,9.790867835423461285e-02,2.309562219583987108e-01,3.081502043171942540e-01,3.819904393848659249e-03
2.000000000000000000e+00,4.000000000000000000e+02,6.257323767561936423e-01,1.892177577736134653e-01,1.244824112453367243e-01,1.441529475720536024e-01,1.441529475720536024e-01,2.263724904958379081e-01,1.676855394251668130e-01,1.873020366800908498e-01,3.473967169975335501e-01,6.496862442764203723e-03
2.000000000000000000e+00,5.000000000000000000e+02,5.602885549277414334e-01,2.542290338559194951e-01,1.702703240403065643e-01,2.318485742106998204e-01,2.318485742106998204e-01,1.625048849259696782e-01,2.280047682425928313e-01,1.180043809841083563e-01,3.622202140361527323e-01,7.919018583425974089e-03
2.000000000000000000e+00,6.000000000000000000e+02,4.700588636624512540e-01,3.249713757311643025e-01,2.308626673624787629e-01,3.434910553434343816e-01,3.434910553434343816e-01,6.753549819825629963e-02,2.734432337050067274e-01,1.731320739478229773e-02,3.485976486859266310e-01,7.511043320302053343e-03
2.000000000000000000e+00,7.000000000000000000e+02,3.273850691261606660e-01,3.908056263246338369e-01,3.002429919733022312e-01,4.665925671700703603e-01,4.665925671700703603e-01,6.741824693763782961e-02,2.939001161856615862e-01,1.187511536838581350e-01,2.919225789153804262e-01,3.723300572621086098e-03
2.000000000000000000e+00,8.000000000000000000e+02,1.218764275894428650e-01,4.214797836076295545e-01,3.500640878747584561e-01,5.574669289394178495e-01,5.574669289394178495e-01,2.243923401624564884e-01,2.730633070498529880e-01,2.669461941737503730e-01,1.808565571672537398e-01,6.235970718027221199e-04
2.000000000000000000e+00,9.000000000000000000e+02,9.828210433072667729e-02,3.969201759248452421e-01,3.526365076677503985e-01,5.731160193586546381e-01,5.731160193586546381e-01,3.489263537381864788e-01,2.116676814205136758e-01,3.735373121731347390e-01,4.443599500737387825e-02,5.299012038394152954e-03
